sku;Ano;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
10113;2018;24;6;2;7;11;16;10;7;6;2;4;5
10113;2019;1;1;0;1;1;11;8;6;4;5;6;22
10119;2019;448;346;348;443;136;519;579;487;251;500;165;595
10119;2018;113;607;286;928;787;479;363;5;134;690;279;1249
10119;2017;456;600;442;468;737;522;454;849;509;482;314;7
10119;2016;0;0;417;387;311;497;362;515;288;202;0;704
10120;2016;192;112;290;187;205;121;137;209;111;412;287;313
10120;2017;112;274;259;341;222;197;316;164;280;216;288;226
10120;2018;178;107;375;332;177;186;156;95;192;308;95;449
10120;2019;142;256;169;161;39;299;656;220;169;210;230;86
10121;2019;287;735;383;767;251;0;819;433;579;403;392;528
10121;2018;629;654;878;408;694;191;508;304;398;377;215;563
10121;2017;396;417;389;431;648;231;582;298;293;469;640;361
10121;2016;332;356;476;395;488;334;226;267;309;0;0;564
10122;2016;297;201;435;351;294;269;210;284;298;208;43;620
10122;2017;266;201;415;493;286;284;425;410;302;274;317;90
10122;2018;198;455;308;230;346;235;170;84;295;152;134;377
10122;2019;259;237;305;612;135;18;299;241;371;139;334;641
10124;2019;414;238;1228;370;381;263;378;315;223;316;400;380
10124;2018;374;411;510;522;520;370;531;419;362;384;489;433
10124;2017;760;683;1499;1406;464;533;439;541;423;673;796;651
10124;2016;301;685;483;369;351;422;219;247;492;603;514;1279
10125;2016;19;25;36;70;96;53;30;41;120;46;29;65
10125;2017;35;25;44;61;42;67;28;55;43;52;53;127
10125;2018;38;45;48;62;65;45;38;53;54;29;56;116
10125;2019;36;48;46;51;49;39;44;49;45;79;33;110
10126;2019;536;378;503;504;477;314;492;433;392;518;509;696
10126;2018;531;543;663;658;697;640;467;559;632;730;964;633
10126;2017;673;891;2482;996;740;583;437;485;839;908;899;879
10126;2016;791;428;-121;618;526;491;269;367;614;622;642;895
10127;2016;23;69;114;91;173;124;105;89;63;88;64;120
10127;2017;70;57;86;84;65;80;36;60;61;73;63;286
10127;2018;47;82;59;97;59;84;87;0;0;0;61;195
10127;2019;87;56;71;89;86;103;70;100;86;100;60;165
10132;2019;64;359;359;7;0;61;154;504;263;186;359;665
10132;2018;87;569;780;644;300;408;314;474;440;942;247;1417
10132;2017;0;0;0;0;0;0;0;0;0;97;734;517
10134;2017;0;0;0;0;0;0;195;90;1;149;91;196
10134;2018;378;189;96;268;159;8;97;338;223;178;4;0
10134;2019;0;203;35;0;0;196;41;96;171;166;295;106
10135;2017;12;4;15;26;15;20;53;13;179;117;109;17
10135;2016;35;12;17;21;19;30;42;29;173;43;46;11
10139;2016;4;0;6;1;3;39;5;1;29;11;0;0
10141;2016;7;7;4;47;4;179;15;16;27;64;7;48
10141;2017;38;21;30;3;8;9;3;8;20;16;7;1
10141;2018;251;0;0;0;0;0;0;0;0;0;0;0
10202;2018;9;7;26;15;31;51;40;16;12;22;14;70
10202;2017;8;9;26;29;54;19;18;19;19;21;15;16
10202;2016;24;40;45;35;19;25;22;28;21;33;26;32
10202;2019;39;15;21;15;44;29;26;39;28;19;31;25
10203;2019;3;7;3;7;3;5;3;1;1;0;0;8
10203;2016;0;0;0;2;1;4;3;0;1;8;4;26
10203;2017;8;18;5;5;5;1;0;6;8;2;12;1
10203;2018;0;0;0;3;6;9;9;2;3;3;2;6
10205;2017;4;1;1;13;0;1;1;0;0;0;0;0
10205;2016;1;2;4;0;2;1;0;4;8;2;8;3
10206;2017;0;0;0;0;0;0;0;0;0;3;0;0
10209;2017;0;0;0;0;0;0;0;0;0;0;2;21
10209;2016;6;34;12;5;20;10;3;12;14;17;16;2
10209;2018;6;1;4;3;7;4;2;23;8;1;3;6
10209;2019;1;1;19;5;2;3;7;7;1;2;11;0
10212;2016;104;5;1;4;3;5;1;0;0;0;0;0
10213;2016;208;301;459;480;674;387;482;73;0;1416;913;55
10213;2017;9;116;243;0;0;1036;6;0;0;0;0;0
10213;2018;0;0;0;0;0;923;188;242;158;311;113;776
10213;2019;98;507;119;250;172;496;269;1210;125;0;536;182
10224;2019;171;302;242;279;167;80;401;196;169;161;197;131
10224;2018;226;362;70;258;69;128;332;138;256;171;172;278
10224;2017;248;229;208;166;299;244;378;298;145;408;311;92
10224;2016;223;194;375;174;195;123;98;107;216;190;311;220
10225;2016;95;13;0;8;276;200;178;430;266;246;483;367
10225;2017;396;328;425;229;675;255;0;0;0;0;72;406
10225;2018;633;308;320;288;286;115;294;129;147;347;21;304
10225;2019;82;387;84;422;124;181;487;200;213;78;161;230
10226;2019;55;0;0;229;138;134;223;42;67;46;78;133
10226;2018;66;200;72;92;53;19;22;155;184;60;41;47
10226;2017;68;50;336;108;47;24;0;237;85;70;21;241
10226;2016;74;35;0;0;1;119;89;201;88;108;75;121
10235;2017;0;0;0;50;50;0;0;193;116;125;54;285
10235;2018;140;200;114;105;116;132;132;247;0;0;0;114
10235;2019;56;39;52;50;60;58;73;135;41;51;29;175
10236;2019;6;8;7;4;11;14;25;35;8;1;0;6
10236;2018;16;9;18;8;15;95;20;16;22;19;18;27
10236;2017;0;0;0;0;9;17;24;8;5;9;7;10
10236;2016;0;0;0;3;6;5;2;11;6;4;1;2
10237;2016;0;0;1;0;1;0;2;7;1;0;0;2
10237;2017;1;1;1;0;0;1;0;0;2;1;2;0
10237;2018;0;0;0;0;3;0;0;0;0;0;0;0
10237;2019;0;0;1;0;0;1;0;0;1;0;0;0
10243;2019;548;463;405;531;434;433;351;107;0;0;0;0
10243;2018;0;0;0;0;447;810;1015;753;477;457;475;846
10246;2018;0;0;0;0;228;110;975;587;901;546;886;1427
10246;2019;63;447;561;506;556;622;419;650;307;373;353;844
10258;2018;6;0;0;0;0;0;0;0;0;0;0;0
10258;2017;0;0;16;37;38;18;52;37;27;62;43;21
10258;2016;11;18;13;21;31;24;21;19;30;54;128;45
10259;2016;3;1;8;11;9;28;0;0;0;0;0;0
10259;2017;0;0;10;13;15;12;9;16;11;7;13;9
10259;2018;5;0;0;0;0;0;0;0;0;0;0;5
10259;2019;4;5;7;10;5;0;0;0;11;1;0;0
10260;2016;19;22;208;0;0;0;0;0;0;0;0;0
10261;2016;826;376;1174;272;1078;805;802;732;636;737;857;1041
10261;2017;1;687;30;830;1076;786;1045;1065;1006;923;375;609
10261;2018;887;1028;1150;1299;1014;908;798;548;1012;820;958;870
10261;2019;677;624;989;1040;874;762;866;909;916;1018;840;809
10262;2019;663;714;1371;1122;307;975;974;1270;1431;1605;1403;1681
10262;2018;2433;0;3;1;900;1020;881;799;997;730;899;831
10262;2017;0;15;0;0;911;735;973;1016;571;1071;717;777
10262;2016;602;157;918;422;1074;643;757;615;1011;993;788;0
10263;2016;595;351;689;455;1037;579;588;417;401;724;812;851
10263;2017;1006;849;62;773;747;573;611;768;794;672;503;429
10263;2018;645;692;652;911;694;564;383;432;508;394;588;466
10263;2019;440;373;570;561;718;503;432;666;469;684;442;346
10265;2019;4;7;6;4;7;8;7;5;1;0;4;0
10265;2018;7;8;15;3;8;7;7;4;6;5;2;3
10265;2017;3;14;9;26;30;0;0;0;7;4;2;5
10265;2016;4;3;10;5;6;9;10;5;4;8;3;4
10266;2016;17;30;13;16;19;7;29;9;0;0;0;0
10267;2016;28;57;26;40;59;59;48;40;32;100;0;0
10269;2016;18;39;18;22;19;19;29;69;22;53;96;0
10271;2016;46;70;33;57;69;55;61;80;2;0;0;0
10274;2016;0;0;0;0;5;1;5;4;4;1;2;9
10274;2017;0;0;0;1;5;6;9;1;2;0;0;0
10274;2018;0;0;0;3;5;14;7;2;11;10;9;8
10274;2019;4;6;8;4;17;7;0;0;0;0;0;5
10285;2018;0;1;109;0;0;0;0;0;0;0;0;0
10285;2017;0;1;0;2;9;0;0;0;0;0;3;1
10285;2016;0;2;1;7;1;2;3;8;0;4;0;2
10286;2016;7;8;10;4;12;17;11;4;10;6;2;6
10286;2017;2;0;67;39;1;24;12;5;1;5;0;0
10286;2018;0;8;4;8;3;10;6;9;5;15;47;93
10286;2019;41;7;21;13;1;0;0;20;7;12;20;17
10288;2019;0;0;0;0;68;31;12;20;22;27;160;21
10288;2018;66;72;146;58;47;78;29;0;0;0;0;0
10288;2017;80;0;0;0;0;111;87;164;57;80;150;283
10288;2016;0;76;70;37;28;25;63;138;36;70;113;96
10289;2017;0;0;0;0;0;48;69;100;90;47;0;0
10289;2019;0;0;0;0;67;63;66;24;33;39;41;29
10290;2019;0;0;0;0;48;229;21;462;15;0;54;91
10290;2017;0;0;0;0;0;379;329;0;0;0;0;0
10290;2016;0;12;71;38;154;207;106;9;0;151;89;0
10290;2018;205;194;178;222;142;42;112;158;163;136;130;99
10292;2018;18;18;25;17;31;12;24;20;28;14;12;4
10292;2016;0;34;62;50;31;26;23;9;1;0;0;0
10292;2017;0;0;0;0;0;0;0;0;0;2;13;25
10292;2019;10;15;16;13;11;23;15;23;20;12;20;5
10293;2019;12;6;10;20;12;33;26;20;22;12;11;24
10293;2017;0;0;0;0;0;0;0;0;0;1;11;31
10293;2016;0;30;47;41;26;43;15;29;4;0;0;0
10293;2018;44;15;81;14;26;15;23;66;29;36;20;14
10311;2018;1;0;15;2;0;0;0;0;6;1;18;35
10311;2016;1;1;0;0;8;0;1;0;1;0;0;6
10311;2017;0;0;1;0;0;2;0;1;2;0;0;35
10311;2019;0;0;0;0;0;0;0;2;0;1;1;46
10314;2019;4;1;2;0;2;2;1;2;0;2;0;24
10314;2017;3;2;0;2;13;0;2;0;3;1;2;2
10314;2016;2;2;2;0;16;4;4;0;3;2;1;4
10314;2018;2;0;0;5;3;66;6;9;3;1;1;2
10315;2018;5;20;15;17;33;59;31;34;22;38;33;15
10315;2016;33;58;87;64;29;22;17;39;32;24;22;115
10315;2017;48;15;40;35;22;76;53;31;40;0;51;34
10315;2019;7;28;24;23;4;17;9;142;90;15;0;0
10316;2019;78;37;4;0;0;38;108;102;84;44;33;60
10320;2016;128;312;217;30;449;143;160;190;227;286;267;160
10321;2016;13;3;0;0;0;0;0;9;3;15;0;75
10321;2017;0;0;0;0;0;0;0;0;0;0;30;62
10321;2018;9;5;6;3;11;3;3;7;8;2;2;15
10321;2019;12;7;10;4;2;4;2;4;2;0;1;28
10324;2019;27;79;120;61;75;93;232;125;94;34;35;49
10324;2018;39;291;44;44;26;31;30;185;59;137;62;49
10324;2017;55;76;201;113;95;75;47;36;40;61;61;65
10324;2016;133;18;59;102;67;87;78;56;86;49;162;162
10325;2016;84;147;465;223;240;77;303;81;63;47;188;303
10325;2017;123;380;77;112;122;65;95;190;210;47;155;75
10325;2018;80;33;68;17;24;24;77;54;133;266;26;145
10325;2019;176;190;80;27;171;583;187;43;363;122;71;93
10327;2019;28;110;66;69;218;155;103;200;29;97;49;156
10327;2018;46;213;22;58;83;42;120;145;143;74;98;281
10327;2017;73;202;40;172;147;67;146;168;84;55;82;36
10327;2016;25;44;53;106;153;52;41;145;102;100;39;224
10328;2016;1;0;0;0;5;0;3;1;1;1;4;4
10328;2017;0;0;6;0;3;1;2;0;0;1;0;3
10328;2018;0;0;21;10;1;2;2;2;2;0;4;10
10328;2019;1;1;1;7;1;0;3;0;4;1;4;1
10333;2016;9;5;1;8;5;0;0;0;0;0;0;0
10335;2016;0;0;0;12;20;18;28;27;11;79;32;71
10335;2017;4;0;0;3;22;25;14;22;29;29;2;0
10335;2018;0;0;0;30;13;12;4;11;8;72;14;13
10335;2019;10;19;20;22;6;14;16;59;23;15;10;0
10337;2019;269;99;114;172;229;139;163;131;94;94;72;102
10337;2018;128;120;140;61;114;97;168;185;93;94;171;162
10337;2017;134;188;194;214;155;152;194;140;173;150;253;132
10337;2016;117;189;248;84;370;92;133;102;105;148;251;230
10340;2016;92;78;226;145;393;94;97;157;143;163;262;324
10340;2017;158;69;194;352;263;169;130;124;178;172;311;163
10340;2018;122;107;125;92;134;128;111;140;300;103;205;231
10340;2019;169;200;294;139;205;191;171;136;111;112;109;117
10341;2019;163;230;124;214;229;175;305;333;155;188;148;253
10341;2018;65;94;66;76;124;117;110;86;269;170;125;193
10341;2017;0;169;10;366;277;190;43;91;135;99;83;332
10341;2016;22;56;103;221;310;139;136;115;284;227;69;99
10342;2016;63;29;40;45;59;58;46;69;30;70;33;42
10342;2017;46;17;55;138;166;57;41;60;49;61;28;99
10342;2018;6;39;189;79;72;43;70;108;44;16;82;53
10342;2019;51;134;113;41;59;196;91;82;130;49;53;50
10343;2019;200;74;179;33;200;604;147;100;118;31;174;111
10343;2018;0;59;59;60;49;48;111;129;52;129;83;145
10343;2017;95;51;3;64;129;105;103;125;23;242;71;0
10343;2016;109;111;37;30;80;298;36;68;117;103;289;411
10344;2016;0;150;573;563;819;205;212;145;194;385;375;329
10344;2017;516;484;870;576;456;322;130;220;381;531;390;273
10344;2018;409;525;442;461;477;460;393;297;314;317;449;359
10344;2019;475;266;391;501;632;335;358;470;485;524;430;400
10346;2019;474;314;541;486;181;367;291;419;499;577;408;432
10346;2018;518;495;355;462;566;425;253;233;492;367;567;522
10346;2017;390;468;311;580;517;401;298;283;651;444;358;385
10346;2016;587;402;21;126;664;215;224;239;345;502;294;236
10347;2016;364;154;653;178;765;629;392;406;558;679;350;418
10347;2017;187;526;197;606;503;449;533;290;545;534;320;334
10347;2018;458;695;457;521;581;553;526;306;584;395;556;480
10347;2019;354;341;440;413;715;445;483;465;460;477;365;364
10348;2019;194;158;202;93;78;508;231;201;310;224;215;258
10348;2018;75;138;72;75;165;63;77;120;163;113;146;127
10348;2017;147;117;40;42;195;170;126;119;139;132;45;92
10348;2016;92;171;145;292;77;161;76;76;154;95;168;408
10349;2016;160;140;114;244;332;506;172;121;301;248;284;137
10349;2017;150;137;101;204;301;139;144;136;372;137;175;151
10349;2018;18;167;52;150;54;164;60;64;128;129;124;215
10349;2019;203;99;210;182;246;464;195;227;297;284;189;343
