sku;I;II;III;V;Descripcion;Articulo
12890;ALIMENTAR;MERCEARIA;SECO;VEGETAIS SECOS;Feijao amanhecer branco 500gr;Feijao amanhecer branco 500gr
12894;ALIMENTAR;MERCEARIA;SECO;OLEO;Oleo alimentar 1lt amanhecer;Oleo alimentar 1lt amanhecer
12895;ALIMENTAR;MERCEARIA;SECO;CONSERVAS FRUTA;Pessego 820g amanhecer;Pessego 820g amanhecer
12902;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Nestum bolacha maria 250gr;Nestum bolacha maria 250gr
12903;ALIMENTAR;BEBIDAS;SUMOS;REFRIGERANTES;Coca-cola lata 250ml;Coca-cola lata 250ml
12912;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DOURO;Domini plus douro 750ml;Domini plus douro 750ml
12918;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante alianca danubio bruto 750ml;Espumante alianca danubio bruto 750ml
12920;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante alianca danubio meio seco 750ml;Espumante alianca danubio meio seco 750ml
12922;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante alianca danubio doce 750ml;Espumante alianca danubio doce 750ml
12924;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante alianca rose bruto 750ml;Espumante alianca rose bruto 750ml
12926;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante alianca tinto bruto 750ml;Espumante alianca tinto bruto 750ml
12928;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante alianca bairrada reserva bruto 750ml;Espumante alianca bairrada reserva bruto 750ml
12938;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;AGUARDENTE;Aguardente pera c/ fruto 700ml;Aguardente pera c/ fruto 700ml
12944;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;VERMUTE;Ricard 700ml;Ricard 700ml
12948;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Champagne mumm cordon rouge brut 750 ml;Champagne mumm cordon rouge brut 750 ml
12962;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;GIN;Gin beefeater dry 700ml;Gin beefeater dry 700ml
12980;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;RUM;Rum havana club anejo 3 anos 700ml;Rum havana club anejo 3 anos 700ml
12984;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;LICORES;Malibu coco 700ml;Malibu coco 700ml
12986;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;VODKA;Vodka wyborowa 700ml;Vodka wyborowa 700ml
12988;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;LICORES;Licor drambuie 700ml;Licor drambuie 700ml
13025;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante murganheira bruto  tinto 750ml;Espumante murganheira bruto  tinto 750ml
13027;ALIMENTAR;MERCEARIA;SECO;ARROZ;Arroz amanhecer vaporizado 1kg;Arroz amanhecer vaporizado 1kg
13029;ALIMENTAR;MERCEARIA;SECO;VEGETAIS SECOS;Feijao amanhecer catarino 500gr;Feijao amanhecer catarino 500gr
13030;ALIMENTAR;MERCEARIA;SECO;VEGETAIS SECOS;Feijao amanhecer encarnado 500gr;Feijao amanhecer encarnado 500gr
13031;ALIMENTAR;MERCEARIA;SECO;VEGETAIS SECOS;Feijao amanhecer frade 500gr;Feijao amanhecer frade 500gr
13032;ALIMENTAR;MERCEARIA;SECO;VEGETAIS SECOS;Feijao amanhecer preto 500gr;Feijao amanhecer preto 500gr
13034;ALIMENTAR;MERCEARIA;SECO;PURES;Flocos batata amanhecer 200gr;Flocos batata amanhecer 200gr
13035;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Ketchup top down gourmes 250ml;Ketchup top down gourmes 250ml
13036;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Maionese top down gourmes 250ml;Maionese top down gourmes 250ml
13037;ALIMENTAR;MERCEARIA;SECO;MASSA;Massa pevide amanhecer 250gr;Massa pevide amanhecer 250gr
13038;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Mostarda top down gourmes 250ml;Mostarda top down gourmes 250ml
13041;ALIMENTAR;MERCEARIA;SECO;ARROZ;Arroz agulha 1kg cacarola;Arroz agulha 1kg cacarola
13042;ALIMENTAR;MERCEARIA;SECO;ARROZ;Arroz risoto 500gr cacarola;Arroz risoto 500gr cacarola
13051;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Porta da ravessa t 375ml;Porta da ravessa t 375ml
13063;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;Periquita t 1500ml;Periquita t 1500ml
13065;ALIMENTAR;MERCEARIA;FRESO;FRUTAS;Pera kg;Pera kg
13068;ALIMENTAR;VINHO;VINHO ROSE;VINHO ROSE;JP azeitao rose 750ml;JP azeitao rose 750ml
13070;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Alabastro t 750ml;Alabastro t 750ml
13087;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO LISBOA;Quinta do gradil t cabernet sauvignon e tinta roriz 750ml;Quinta do gradil t cabernet sauvignon e tinta roriz 750ml
13089;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO LISBOA;Quinta do gradil t touriga nacional e tannat 750ml;Quinta do gradil t touriga nacional e tannat 750ml
13091;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Vale dos pecados t 750ml;Vale dos pecados t 750ml
13093;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO VERDE;Vale dos pecados verde b 750ml;Vale dos pecados verde b 750ml
13095;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Vale dos pecados t reserva 750ml;Vale dos pecados t reserva 750ml
13101;ALIMENTAR;VINHO;VINHO TINTO;VINHO DE MESA;Tabernarius t 750ml;Tabernarius t 750ml
13103;ALIMENTAR;VINHO;VINHO TINTO;VINHO DE MESA;Tabernarius t bib 5000ml;Tabernarius t bib 5000ml
13109;ALIMENTAR;VINHO;VINHO TINTO;VINHO DE MESA;Ganita t 750ml;Ganita t 750ml
13132;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DOURO;Adega murca t bib 5lt;Adega murca t bib 5lt
13133;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO DOURO;Adega murca b 750ml;Adega murca b 750ml
13134;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DOURO;Adega murca t 750ml;Adega murca t 750ml
13135;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO DOURO;Adega murca b 250ml;Adega murca b 250ml
13136;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DOURO;Adega murca t 250ml;Adega murca t 250ml
13137;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Bolacha wafer chocolate nacional 125gr;Bolacha wafer chocolate nacional 125gr
13139;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Filete cavala em azeite 125gr cocagne;Filete cavala em azeite 125gr cocagne
13142;ALIMENTAR;BEBIDAS;SUMOS;REFRIGERANTES;Guarana 330ml;Guarana 330ml
13144;ALIMENTAR;BEBIDAS;SUMOS;REFRIGERANTES;Guarana 1500ml;Guarana 1500ml
13147;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DOURO;Lello t 750ml;Lello t 750ml
13150;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DAO;Meia encosta tinto 750ml;Meia encosta tinto 750ml
13240;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Casal garcia sparkling 750ml;Casal garcia sparkling 750ml
13241;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO VERDE;Casal garcia 750ml screw cap;Casal garcia 750ml screw cap
13242;ALIMENTAR;VINHO;VINHO ROSE;VINHO ROSE;Casal garcia rose 750ml screw cap;Casal garcia rose 750ml screw cap
13243;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO VERDE;Quinta aveleda verde seco loureiro espadeiro b 750ml;Quinta aveleda verde seco loureiro espadeiro b 750ml
13257;ALIMENTAR;MERCEARIA;FRESO;BACALHAU SECO;Bacalhau semi-seco graudo kg;Bacalhau semi-seco graudo kg
13298;ALIMENTAR;MERCEARIA;FRESO;MANTEIGA;Manteiga nova acores c/ sal 10gr;Manteiga nova acores c/ sal 10gr
13300;ALIMENTAR;MERCEARIA;CONGELADOS;MARISCO;Miolo ameijoa cov 250gr;Miolo ameijoa cov 250gr
13311;ALIMENTAR;MERCEARIA;CONGELADOS;PEIXE CONGELADO;Corvina posta 1kg;Corvina posta 1kg
13312;ALIMENTAR;MERCEARIA;CONGELADOS;MARISCO;Delicias mar 250gr;Delicias mar 250gr
13315;ALIMENTAR;MERCEARIA;CONGELADOS;LEGUMES CONGELADOS;Fava extra 400gr;Fava extra 400gr
13319;ALIMENTAR;MERCEARIA;CONGELADOS;MARISCO;Delicias lagosta 250gr;Delicias lagosta 250gr
13326;ALIMENTAR;MERCEARIA;CONGELADOS;LEGUMES CONGELADOS;Milho doce 400gr;Milho doce 400gr
13335;ALIMENTAR;MERCEARIA;CONGELADOS;PEIXE CONGELADO;Sardinha congelada 1kg;Sardinha congelada 1kg
13342;ALIMENTAR;MERCEARIA;CONGELADOS;PEIXE CONGELADO;Polvo limpo 3000/4000g cov asa;Polvo limpo 3000/4000g cov asa
13344;ALIMENTAR;MERCEARIA;CONGELADOS;PEIXE CONGELADO;Tamboril lombos;Tamboril lombos
13366;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Novilho picanha fatiada kg;Novilho picanha fatiada kg
13370;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Pato cong 2.4Kg;Pato cong 2.4Kg
13378;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Porco secretos ibericos kg;Porco secretos ibericos kg
13382;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Porco febras kg;Porco febras kg
13392;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Frango inteiro kg;Frango inteiro kg
13395;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Novilho picanha kg;Novilho picanha kg
13396;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Peito Peru  kg;Peito Peru  kg
13397;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Peru perna kg;Peru perna kg
13399;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate culinaria pantagruel 200gr;Chocolate culinaria pantagruel 200gr
13400;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Caramelo coberto c/ chocolate leite 52gr allegro;Caramelo coberto c/ chocolate leite 52gr allegro
13407;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Amendoas e avelas cobertas c/ chocolate e capa de acucar 200gr jubileu;Amendoas e avelas cobertas c/ chocolate e capa de acucar 200gr jubileu
13411;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Amendoas cobertas c/ chocolate leite 320gr jubileu;Amendoas cobertas c/ chocolate leite 320gr jubileu
13413;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate culinaria pantagruel branco 200gr;Chocolate culinaria pantagruel branco 200gr
13414;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate culinaria pantagruel 70% cacau 200gr;Chocolate culinaria pantagruel 70% cacau 200gr
13418;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Carre chocolate leite 100gr jubileu;Carre chocolate leite 100gr jubileu
13419;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Carre chocolate leite c/amendoas 100gr jubileu;Carre chocolate leite c/amendoas 100gr jubileu
13420;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Carre chocolate leite recheado c/ creme de praline 100gr jubileu;Carre chocolate leite recheado c/ creme de praline 100gr jubileu
13421;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Carre chocolate preto 70% cacau 100gr jubileu;Carre chocolate preto 70% cacau 100gr jubileu
13422;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Bombons coracao c/chocolate leite e amendoas 90gr regina;Bombons coracao c/chocolate leite e amendoas 90gr regina
13423;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Bombons c/recheio cremoso chocolate leite 200gr d'or jubileu;Bombons c/recheio cremoso chocolate leite 200gr d'or jubileu
13427;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Sombrinhas chocolate leite 15gr regina;Sombrinhas chocolate leite 15gr regina
13458;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate lion 42gr;Chocolate lion 42gr
13465;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Kit kat chunky 40gr;Kit kat chunky 40gr
13469;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Crunch leite 100gr;Crunch leite 100gr
13583;ALIMENTAR;MERCEARIA;FRESO;FRUTAS;Maca vermelha kg;Maca vermelha kg
13589;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Amendoim frito c/mel e sal 150gr frutorra;Amendoim frito c/mel e sal 150gr frutorra
13601;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Miolo noz  metades 150gr frutorra;Miolo noz  metades 150gr frutorra
13611;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Ameixa 200gr frutorra;Ameixa 200gr frutorra
13617;ALIMENTAR;MERCEARIA;FRESO;LEGUMES;Alface kg;Alface kg
13619;ALIMENTAR;MERCEARIA;FRESO;LEGUMES;Couve Chinesa kg;Couve Chinesa kg
13620;ALIMENTAR;MERCEARIA;FRESO;FRUTAS;Laranja kg;Laranja kg
13621;ALIMENTAR;MERCEARIA;FRESO;LEGUMES;Courgette kg;Courgette kg
13622;ALIMENTAR;MERCEARIA;FRESO;FRUTAS;Maca Verde / matak Kg;Maca Verde / matak Kg
13632;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;P dent colgate total whitening 110g;P dent colgate total whitening 110g
13634;ALIMENTAR;MERCEARIA;SECO;OLEO;Aroma Timor  virgem coconut oil  310ml;Aroma Timor  virgem coconut oil  310ml
13636;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;WHISKEY;Whisky 650ml 40% alc vol silver label;Whisky 650ml 40% alc vol silver label
13638;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;VODKA;Vodka 650ml 40% alc vol silver label;Vodka 650ml 40% alc vol silver label
13643;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos kleenex silk 170;Lencos kleenex silk 170
13648;ALIMENTAR;MERCEARIA;FRESO;LEGUMES;Malagueta kg;Malagueta kg
13656;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Cafe cooperativa timor premium grade po 250gr;Cafe cooperativa timor premium grade po 250gr
13657;ALIMENTAR;MERCEARIA;SECO;CHA;Cha tradicional timor dareta & ortelao 20g;Cha tradicional timor dareta & ortelao 20g
13662;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Porta da ravessa t 1500ml;Porta da ravessa t 1500ml
13680;ALIMENTAR;MERCEARIA;SECO;MEL;Bani been mel 380g;Bani been mel 380g
13681;ALIMENTAR;MERCEARIA;SECO;CHA;Cha tradicional Timor Abacate e Lima 30gr;Cha tradicional Timor Abacate e Lima 30gr
13688;ALIMENTAR;MERCEARIA;CONGELADOS;CARNE CONGELADA;Galinha manu inan cong 900gr;Galinha manu inan cong 900gr
13698;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Hamburguer cogumelos 100%;Hamburguer cogumelos 100%
13699;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Hamburguer cenoura e algas 100%;Hamburguer cenoura e algas 100%
13700;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Bifes soja molho tomate - pronto a comer 100%;Bifes soja molho tomate - pronto a comer 100%
13701;ALIMENTAR;MERCEARIA;SECO;BEBIDAS BIO;Bebida soja calcio frias 1l;Bebida soja calcio frias 1l
13702;ALIMENTAR;MERCEARIA;SECO;BEBIDAS BIO;Bebida soja natural frias 1l;Bebida soja natural frias 1l
13705;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Farelo aveia 250gr 100%;Farelo aveia 250gr 100%
13706;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Muesli multicereais 375gr 100%;Muesli multicereais 375gr 100%
13707;ALIMENTAR;MERCEARIA;SECO;FARINHA;Farinha trigo integral 500gr 100%;Farinha trigo integral 500gr 100%
13708;ALIMENTAR;MERCEARIA;SECO;ARROZ;Arroz integral extra longo 1kg 100%;Arroz integral extra longo 1kg 100%
13709;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Sementes sesamo 200gr 100%;Sementes sesamo 200gr 100%
13712;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Tosta sesamo integral 250gr 100%;Tosta sesamo integral 250gr 100%
13714;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Acucar cana integral 500gr 100%;Acucar cana integral 500gr 100%
13718;ALIMENTAR;MERCEARIA;SECO;CHA;Cha verde soluvel 10saq 100%;Cha verde soluvel 10saq 100%
13719;ALIMENTAR;MERCEARIA;SECO;CHA;Cha menta soluvel 10saq 100%;Cha menta soluvel 10saq 100%
13720;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Chocolate negro sem acucar c/ frutos vermelhos 125gr Stevia;Chocolate negro sem acucar c/ frutos vermelhos 125gr Stevia
13736;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Quinta do gradil espumante 750ml;Quinta do gradil espumante 750ml
13750;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Pera doce t 750ml;Pera doce t 750ml
13752;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Pera doce reserva t 750ml;Pera doce reserva t 750ml
13754;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO ALENTEJO;Pera doce reserva b 750ml;Pera doce reserva b 750ml
13762;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Monte velho t 3lt;Monte velho t 3lt
13764;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Arco do esporao t 750ml;Arco do esporao t 750ml
13770;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Quatro castas t 750ml;Quatro castas t 750ml
13779;NAO ALIMENTAR;PESSOAL;HIGIENE;PAPEL HIGIENICO;Papel hig renova design 9rolos;Papel hig renova design 9rolos
13780;NAO ALIMENTAR;PESSOAL;HIGIENE;PAPEL HIGIENICO;Papel hig renova ole 2rolos;Papel hig renova ole 2rolos
13781;NAO ALIMENTAR;CASA;MENAGE;PAPEL COZINHA;Rolo cozinha renova design 4rolos;Rolo cozinha renova design 4rolos
13782;NAO ALIMENTAR;CASA;MENAGE;PAPEL COZINHA;Rolo cozinha renova extra xxl 1rolo;Rolo cozinha renova extra xxl 1rolo
13783;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova gold 40x40 az;Guardanapo renova gold 40x40 az
13784;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova gold 40x40 bordeaux;Guardanapo renova gold 40x40 bordeaux
13785;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova gold 40x40 bco;Guardanapo renova gold 40x40 bco
13786;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova gold 40x40 amrl;Guardanapo renova gold 40x40 amrl
13787;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova tipo e 32x30 lrj;Guardanapo renova tipo e 32x30 lrj
13788;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova tipo e 32x30 az;Guardanapo renova tipo e 32x30 az
13789;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova tipo e 32x30 vrd;Guardanapo renova tipo e 32x30 vrd
13790;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova tipo a 33x33 rosa;Guardanapo renova tipo a 33x33 rosa
13791;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova ole 30x29 bco;Guardanapo renova ole 30x29 bco
13792;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos renova 10x6 lav;Lencos renova 10x6 lav
13793;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos renova 10x6 ment;Lencos renova 10x6 ment
13794;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos renova 10x6 bco;Lencos renova 10x6 bco
13795;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos renova 10x6 kids;Lencos renova 10x6 kids
13796;NAO ALIMENTAR;PESSOAL;BEM ESTAR;MAKE UP;Discos desmaquilhante renova skin care maxi 40;Discos desmaquilhante renova skin care maxi 40
13797;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos faciais renova skin care mini 46;Lencos faciais renova skin care mini 46
13798;NAO ALIMENTAR;PESSOAL;HIGIENE;PAPEL HIGIENICO;Papel hig humido renova kids travel;Papel hig humido renova kids travel
13799;NAO ALIMENTAR;PESSOAL;HIGIENE;PAPEL HIGIENICO;Papel hig humido renova fraicheur refill;Papel hig humido renova fraicheur refill
13800;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE FEMININA;Pensos hig renova ultrafino first normal s/abas 16;Pensos hig renova ultrafino first normal s/abas 16
13801;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE FEMININA;Pensos hig renova ultrafino first normal c/abas 14;Pensos hig renova ultrafino first normal c/abas 14
13802;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE FEMININA;Pensos hig renova ultrafino first super c/abas 12;Pensos hig renova ultrafino first super c/abas 12
13808;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE FEMININA;Pensos hig diarios renova first 60 normal;Pensos hig diarios renova first 60 normal
13815;NAO ALIMENTAR;PESSOAL;HIGIENE;PAPEL HIGIENICO;Papel hig renova 6rolos black;Papel hig renova 6rolos black
13823;NAO ALIMENTAR;PESSOAL;HIGIENE;PAPEL HIGIENICO;Papel hig renova 2rolos black;Papel hig renova 2rolos black
13847;NAO ALIMENTAR;PESSOAL;HIGIENE;GUARDANAPOS;Guardanapo renova tipo b sortido;Guardanapo renova tipo b sortido
13855;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos faciais renova tubo sortido;Lencos faciais renova tubo sortido
13863;NAO ALIMENTAR;PESSOAL;HIGIENE;LENÇOS PAPEL;Lencos faciais renova maxi sortido 80;Lencos faciais renova maxi sortido 80
13874;ALIMENTAR;MERCEARIA;SECO;AUXILIARES DE CULINARIA;Coco ralado amanhecer 200gr;Coco ralado amanhecer 200gr
13876;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Filtros cafe n2;Filtros cafe n2
13878;ALIMENTAR;MERCEARIA;SECO;AUXILIARES DE CULINARIA;Leite condensado magro amanhecer;Leite condensado magro amanhecer
13879;ALIMENTAR;MERCEARIA;SECO;AUXILIARES DE CULINARIA;Leite condensado tradicional amanhecer;Leite condensado tradicional amanhecer
13880;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre gourmes vinho tto 250ml;Vinagre gourmes vinho tto 250ml
13890;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Beer chimay blue 330ml be;Beer chimay blue 330ml be
13891;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Beer chimay tripel 330ml be;Beer chimay tripel 330ml be
13892;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Beer chimay red 330ml be;Beer chimay red 330ml be
13894;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Beer duvel 330ml be;Beer duvel 330ml be
13905;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Beer vedett white 330ml be;Beer vedett white 330ml be
13907;ALIMENTAR;MERCEARIA;SECO;BATATAS FRITAS;Treatz barbecue 70g;Treatz barbecue 70g
13909;ALIMENTAR;MERCEARIA;SECO;BATATAS FRITAS;Treatz salted 70g;Treatz salted 70g
13910;ALIMENTAR;MERCEARIA;SECO;BATATAS FRITAS;Treatz chilli 70g;Treatz chilli 70g
13911;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Roasted peanuts 40g;Roasted peanuts 40g
13918;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Oriental mix 150g;Oriental mix 150g
13919;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Baked almonds natural wonder 70g;Baked almonds natural wonder 70g
13920;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Baked cashew nuts natural wonder 70g;Baked cashew nuts natural wonder 70g
13921;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Fruit & nuts fusion natural wonder 130g;Fruit & nuts fusion natural wonder 130g
13933;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;Esc dent colgate classic clean hard;Esc dent colgate classic clean hard
13935;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Cafe cooperativa timor arabica po 500gr;Cafe cooperativa timor arabica po 500gr
13939;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Cerveja heineken gf 330ml;Cerveja heineken gf 330ml
13943;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;Elixir colgate plax peppermint 250ml;Elixir colgate plax peppermint 250ml
13947;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Gel banho palmolive milk & honey 1000ml;Gel banho palmolive milk & honey 1000ml
13954;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DOURO;Quinta soalheira douro t 750ml;Quinta soalheira douro t 750ml
13956;ALIMENTAR;MERCEARIA;SECO;CONSERVAS VEGETAIS;Ervilha compal 845g;Ervilha compal 845g
13957;ALIMENTAR;MERCEARIA;SECO;CONSERVAS VEGETAIS;Ervilha compal 410gr;Ervilha compal 410gr
13958;ALIMENTAR;MERCEARIA;SECO;PRODUTOS TOMATE;Polpa tomate cebola alho 500ml;Polpa tomate cebola alho 500ml
13959;ALIMENTAR;MERCEARIA;SECO;CONSERVAS VEGETAIS;Cogumelos cortados compal 300gr;Cogumelos cortados compal 300gr
13965;ALIMENTAR;BEBIDAS;AGUA;AGUA SEM GAS;Agua serra estrela 330ml;Agua serra estrela 330ml
13966;ALIMENTAR;BEBIDAS;AGUA;AGUA SEM GAS;Agua serra estrela 500ml;Agua serra estrela 500ml
13967;ALIMENTAR;BEBIDAS;AGUA;AGUA SEM GAS;Agua serra estrela 1.5L;Agua serra estrela 1.5L
13970;ALIMENTAR;BEBIDAS;SUMOS;SUMOS COM GAS 330;Sumol maracuja  330ml;Sumol maracuja  330ml
