"","sku","stock_actual","prevision_total","stock_meses","PC_medio","Altura","Largura","Comprimento","valor_stock_usd","stock_meses_1"
"1002","18624",0,"   67,4",0,"   0,983","0,002","1","1","    0,00",0
"1003","18663",0,"    0,0",0,"   3,550","0,325","0,225","0,15","    0,00",12
"1004","18664",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1005","18678",65,"   18,0",3,"   0,850","0,004","1","1","   55,25",3
"1006","18679",34,"    7,2",4,"   0,660","0,004","1","1","   22,44",4
"1007","18681",56,"    6,2",9,"   2,810","0,003","1","1","  157,36",9
"1008","18702",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1009","18704",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1010","18713",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1011","18722",0,"    0,0",0,"  12,580","0,084","1","1","    0,00",12
"1012","18723",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1013","18729",0,"    0,0",0,"   5,650","0,078","1","1","    0,00",12
"1014","18730",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1015","18732",39,"   91,4",0,"   0,500","0","0","0","   19,50",0
"1016","18748",4,"   10,2",0,"   5,950","0,337","0,155","0,228","   23,80",0
"1017","18784",0,"    0,0",0,"   6,580","0,041","1","1","    0,00",12
"1018","18789",0,"    0,0",0,"  11,250","0,033","1","1","    0,00",12
"1019","18793",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1020","18806",0,"    0,0",0,"   3,390","0,029","1","1","    0,00",12
"1021","18810",0,"    0,0",0,"   4,340","0,337","0,155","0,228","    0,00",12
"1022","18812",13,"   11,5",1,"   7,720","0,167","0,243","0,305","  100,36",1
"1023","18817",0,"  100,0",0,"   0,000","0","0","0","    0,00",0
"1024","18820",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1025","18821",0," 1359,0",0,"   0,000","0","0","0","    0,00",0
"1026","18825",0,"   17,0",0,"   0,000","0","0","0","    0,00",0
"1027","18844",328,"    2,3",12,"   6,360","0,122","1","1"," 2086,08",12
