sku;Produto;Descricao Curta;Tipo Produto;pvp;PC_medio;Descontinuado;Fornecedor;Localizacao Criacao;Peso Bruto;Altura;Largura;Comprimento
12865;Gel barbear nivea extra hidra 200ml;Gel barbear nivea extra h;Normal;7,6;3,737176;FALSO;RECHEIO S.A.;LOJA;3,18;0,007;1;1
12868;Peanut crackers 150g;Peanut crackers 150g;Normal;2,3;1,118937;FALSO;TAI SUN (LIME KEE) FOOD INDUSTRIES PTE, LTD;LOJA;0;0,045;1;1
12870;Roasted peanuts 150g;Roasted peanuts 150g;Normal;2,1;1,1;FALSO;TAI SUN (LIME KEE) FOOD INDUSTRIES PTE, LTD;LOJA;0;0,045;1;1
12873;Honey roasted almonds 130g;Honey roasted almonds 130;Normal;5,1;2,804346;FALSO;TAI SUN (LIME KEE) FOOD INDUSTRIES PTE, LTD;LOJA;0;0,038;1;1
12875;Cocktail nuts 140g;Cocktail nuts 140g;Normal;3,9;2;FALSO;TAI SUN (LIME KEE) FOOD INDUSTRIES PTE, LTD;LOJA;0;0,038;1;1
12876;Salted pistachios 130g;Salted pistachios 130g;Normal;4,9;2,7;FALSO;TAI SUN (LIME KEE) FOOD INDUSTRIES PTE, LTD;LOJA;0;0,038;1;1
12877;Cashew nuts 130g;Cashew nuts 130g;Normal;4,4;2,429778;FALSO;TAI SUN (LIME KEE) FOOD INDUSTRIES PTE, LTD;LOJA;0;0,038;1;1
12881;Acucar branco papel 1kg amanhecer;Acucar branco papel 1kg a;Normal;2,25;1,15119;FALSO;RECHEIO S.A.;LOJA;10,09;0,15;0,19;0,38
12882;Atum posta oleo amanhecer 120g;Atum posta oleo amanhecer;Normal;2,25;1,2;FALSO;RECHEIO S.A.;LOJA;16;0,14;0,33;0,46
12883;Caldo carne 8ubos 80gr amanhecer;Caldo carne 8ubos 8gr ama;Normal;0,95;0,45;FALSO;RECHEIO S.A.;LOJA;0;0;0;0
12884;Caldo galinha 8cubos 80gr amanhecer;Caldo galinha 8cubos 80gr;Normal;0,95;0,457757;FALSO;RECHEIO S.A.;LOJA;0;0;0;0
12887;Doce frutos silvestres 355gr amanhecer;Doce frutos silvestres 35;Normal;2,95;1,46552;FALSO;RECHEIO S.A.;LOJA;0;0;0;0
12888;Doce morango 355gr amanhecer;Doce morango 355gr amanhe;Normal;2,8;1,324512;FALSO;RECHEIO S.A.;LOJA;0;0;0;0
12889;Doce pessego 355gr amanhecer;Doce pessego 355gr amanhe;Normal;3,3;1,339708;FALSO;RECHEIO S.A.;LOJA;0;0;0;0
12890;Feijao amanhecer branco 500gr;Feijao amanhecer branco;Normal;2,5;1,158333;FALSO;RECHEIO S.A.;LOJA;0;0;0;0
12894;Oleo alimentar 1lt amanhecer;Oleo alimentar 1lt amanhe;Normal;3,6;1,793;FALSO;RECHEIO S.A.;LOJA;14,4;0,28;0,22;0,37
12895;Pessego 820g amanhecer;Pessego 820g amanhecer;Normal;3,5;1,548;FALSO;RECHEIO S.A.;LOJA;12;0,12;0,32;0,42
12902;Nestum bolacha maria 250gr;Nestum bolacha maria 250g;Normal;4,8;2,64;FALSO;RECHEIO S.A.;LOJA;4,03;0,185;0,142;0,053
12903;Coca-cola lata 250ml;Coca-cola lata 250ml;Normal;0,6;0,29167;FALSO;PERISSOS;LOJA;0;0;0;0
12912;Domini plus douro 750ml;Domini plus douro 750ml;Normal;60;26,874353;FALSO;JOSE MARIA FONSECA - VINHOS S.A;LOJA;0;0,335;0,269;0,11
12918;Espumante alianca danubio bruto 750ml;Espumante alianca danubio;Normal;13;4,33016;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;10,5;0,324;0,184;0,274
12920;Espumante alianca danubio meio seco 750ml;Espumante alianca danubio;Normal;13;4,240888;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;5,5;0,324;0,184;0,274
12922;Espumante alianca danubio doce 750ml;Espumante alianca danubio;Normal;13;4,33824;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;10,5;0,324;0,184;0,274
12924;Espumante alianca rose bruto 750ml;Espumante alianca rose br;Normal;15,5;4,685977;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;10,5;0,324;0,184;0,274
12926;Espumante alianca tinto bruto 750ml;Espumante alianca tinto b;Normal;16;5,457353;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;10,5;0,324;0,184;0,274
12928;Espumante alianca bairrada reserva bruto 750ml;Espumante alianca bairrad;Normal;15;5,030807;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;10,5;0,324;0,184;0,274
12938;Aguardente pera c/ fruto 700ml;Aguardente pera c/ fruto;Normal;23,5;4,93;FALSO;J.CARRANCA REDONDO,LDA;LOJA;0;0;0;0
12944;Ricard 700ml;Ricard 700ml;Normal;21,5;8,05;FALSO;RECHEIO S.A.;LOJA;8,09;0,3;0,25;0,16
12948;Champagne mumm cordon rouge brut 750 ml;Mumm cordon rouge brut 75;Normal;90;48,73;FALSO;THE VINTAGE WINE CLUB PTE LTD;LOJA;7,8;0,18;0,25;0,33
12962;Gin beefeater dry 700ml;Gin beefeater dry 700ml;Normal;32,5;9,28;FALSO;RECHEIO S.A.;LOJA;14;0,32;0,22;0,29
12980;Rum havana club anejo 3 anos 700ml;Rum havana club anejo 3 a;Normal;28,6;8,05;FALSO;RECHEIO S.A.;LOJA;7,333;0,32;0,15;0,23
12984;Malibu coco 700ml;Malibu coco 700ml;Normal;35;10,380526;FALSO;RECHEIO S.A.;LOJA;7,42;0,28;0,17;0,26
12986;Vodka wyborowa 700ml;Vodka wiborowa 700ml;Normal;24,7;5,58;FALSO;RECHEIO S.A.;LOJA;8,2;0,32;0,165;0,24
12988;Licor drambuie 700ml;Licor drambuie 700ml;Normal;42;15,27;FALSO;RECHEIO S.A.;LOJA;8,77;0,241;0,179;0,268
12990;Tequila tierra 700ml;Tequila tierra 700ml;Normal;28,5;4,505;FALSO;RECHEIO S.A.;LOJA;7,4;0,295;0,243;0,165
13;Carcaca cereais;Carcaca cereais;Normal;1,1;0,45;FALSO;PANIKE;LOJA;0;0;0;0
13025;Espumante murganheira bruto  tinto 750ml;Espumante murganheira tin;Normal;26;10,4;FALSO;RECHEIO S.A.;LOJA;5,28;0,328;0,231;0,099
13027;Arroz amanhecer vaporizado 1kg;Arroz amanhecer vaporizad;Normal;2,6;1,361757;FALSO;RECHEIO S.A.;LOJA;0;0,36;0,18;0,17
13029;Feijao amanhecer catarino 500gr;Feijao amanhecer catarino;Normal;2,9;1,237333;FALSO;RECHEIO S.A.;LOJA;0;0,4;0,25;0,16
